Date/Time,Electricity:Facility [J](TimeStep)
 07/13  00:05:00,271114.0498
 07/13  00:10:00,264461.8154
 07/13  00:15:00,259291.157
 07/13  00:20:00,254696.9146
 07/13  00:25:00,250400.1887
 07/13  00:30:00,246296.5464
 07/13  00:35:00,242330.5664
 07/13  00:40:00,238472.0625
 07/13  00:45:00,234708.2851
 07/13  00:50:00,231053.4317
 07/13  00:55:00,227469.5814
 07/13  01:00:00,223958.3833
 07/13  01:05:00,209289.344
 07/13  01:10:00,204815.4219
 07/13  01:15:00,200560.145
 07/13  01:20:00,196432.3256
 07/13  01:25:00,192393.6914
 07/13  01:30:00,188438.7915
 07/13  01:35:00,184560.614
 07/13  01:40:00,180752.9135
 07/13  01:45:00,177012.1259
 07/13  01:50:00,173337.3825
 07/13  01:55:00,169729.5964
 07/13  02:00:00,166191.8358
 07/13  02:05:00,160636.0568
 07/13  02:10:00,156694.4295
 07/13  02:15:00,152682.548
 07/13  02:20:00,148741.8164
 07/13  02:25:00,144781.2418
 07/13  02:30:00,140824.5463
 07/13  02:35:00,136865.0552
 07/13  02:40:00,132907.9716
 07/13  02:45:00,128941.8358
 07/13  02:50:00,125007.9987
 07/13  02:55:00,121142.6372
 07/13  03:00:00,117240.1399
 07/13  03:05:00,114026.7147
 07/13  03:10:00,110530.5361
 07/13  03:15:00,107096.3116
 07/13  03:20:00,103722.3529
 07/13  03:25:00,99531.57538
 07/13  03:30:00,99531.57538
 07/13  03:35:00,99531.57538
 07/13  03:40:00,99531.57538
 07/13  03:45:00,99531.57538
 07/13  03:50:00,99531.57538
 07/13  03:55:00,99531.57538
 07/13  04:00:00,99531.57538
 07/13  04:05:00,130494.4894
 07/13  04:10:00,130494.4894
 07/13  04:15:00,130494.4894
 07/13  04:20:00,130494.4894
 07/13  04:25:00,130494.4894
 07/13  04:30:00,130494.4894
 07/13  04:35:00,130494.4894
 07/13  04:40:00,130494.4894
 07/13  04:45:00,130494.4894
 07/13  04:50:00,130494.4894
 07/13  04:55:00,130494.4894
 07/13  05:00:00,130494.4894
 07/13  05:05:00,194219.8997
 07/13  05:10:00,194219.8997
 07/13  05:15:00,194219.8997
 07/13  05:20:00,199298.2816
 07/13  05:25:00,234206.6937
 07/13  05:30:00,233365.3208
 07/13  05:35:00,245874.9937
 07/13  05:40:00,257218.1439
 07/13  05:45:00,268533.3595
 07/13  05:50:00,280364.5703
 07/13  05:55:00,291709.2695
 07/13  06:00:00,303748.2761
 07/13  06:05:00,1110307.566
 07/13  06:10:00,1113639.814
 07/13  06:15:00,1117092.581
 07/13  06:20:00,1117244.408
 07/13  06:25:00,1098063.794
 07/13  06:30:00,1065423.753
 07/13  06:35:00,1056911.355
 07/13  06:40:00,1047448.448
 07/13  06:45:00,1043365.736
 07/13  06:50:00,1042736.779
 07/13  06:55:00,1044138.015
 07/13  07:00:00,1046927.947
 07/13  07:05:00,1035790.152
 07/13  07:10:00,1036489.62
 07/13  07:15:00,1039650.166
 07/13  07:20:00,1043599.796
 07/13  07:25:00,1048016.857
 07/13  07:30:00,1052862.347
 07/13  07:35:00,1324022.122
 07/13  07:40:00,1458860.849
 07/13  07:45:00,1464451.968
 07/13  07:50:00,1470344.57
 07/13  07:55:00,1476547.904
 07/13  08:00:00,1154812.636
 07/13  08:05:00,236775.0812
 07/13  08:10:00,213617.115
 07/13  08:15:00,213617.115
 07/13  08:20:00,255064.9396
 07/13  08:25:00,336705.6923
 07/13  08:30:00,393838.6551
 07/13  08:35:00,423798.7954
 07/13  08:40:00,450874.3492
 07/13  08:45:00,475780.268
 07/13  08:50:00,500471.1619
 07/13  08:55:00,538558.0699
 07/13  09:00:00,561399.783
 07/13  09:05:00,570107.9597
 07/13  09:10:00,707393.2866
 07/13  09:15:00,988738.185
 07/13  09:20:00,1000690.952
 07/13  09:25:00,1013565.043
 07/13  09:30:00,1025971.588
 07/13  09:35:00,963310.4761
 07/13  09:40:00,652064.3881
 07/13  09:45:00,661630.1121
 07/13  09:50:00,670397.7947
 07/13  09:55:00,678570.518
 07/13  10:00:00,686359.1709
 07/13  10:05:00,689325.9407
 07/13  10:10:00,695258.4016
 07/13  10:15:00,701505.4675
 07/13  10:20:00,707835.4425
 07/13  10:25:00,714152.3447
 07/13  10:30:00,729249.816
 07/13  10:35:00,729473.7931
 07/13  10:40:00,734885.5113
 07/13  10:45:00,742150.5367
 07/13  10:50:00,749983.1573
 07/13  10:55:00,758097.7896
 07/13  11:00:00,766263.7818
 07/13  11:05:00,770280.793
 07/13  11:10:00,775161.9614
 07/13  11:15:00,780753.0412
 07/13  11:20:00,786835.6717
 07/13  11:25:00,792795.7169
 07/13  11:30:00,798249.186
 07/13  11:35:00,803497.9985
 07/13  11:40:00,808903.5308
 07/13  11:45:00,814430.457
 07/13  11:50:00,820025.017
 07/13  11:55:00,825786.3844
 07/13  12:00:00,835577.4562
 07/13  12:05:00,874792.5926
 07/13  12:10:00,905605.0608
 07/13  12:15:00,913477.554
 07/13  12:20:00,919281.6087
 07/13  12:25:00,924731.808
 07/13  12:30:00,931093.3326
